Company,Valuation,Industry,City,Country,Continent,Funding,Select Investors
Xingsheng Selected,12000000000,E-commerce & direct-to-consumer,Changsha,China,Asia,5000000000,"KKR, Tencent Holdings, Sequoia Capital China"
ZongMu Technology,11000000000,Auto & transportation,Shanghai,China,Asia,376000000,"LTW Capital, Legend Capital, Qualcomm Ventures"
Bolt,11000000000,Auto & transportation,Tallinn,Estonia,Europe,1000000000,"Didi Chuxing, Diamler, TMT Investments"
Swiggy,11000000000,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,5000000000,"Accel India, SAIF Partners, Norwest Venture Partners"
Weilong Foods,11000000000,Consumer & retail,Luohe,China,Asia,558000000,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital"
Global Switch,11000000000,Hardware,London,United Kingdom,Europe,5000000000,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Bolt,11000000000,Fintech,San Francisco,United States,North America,1000000000,"Activant Capital, Tribe Capital, General Atlantic"
Celonis,11000000000,Data management & analytics,Munich,Germany,Europe,1000000000,"Accel, 83North"
Zuoyebang,10000000000,Edtech,Beijing,China,Asia,3000000000,"Sequoia Capital China, Xiang He Capital, GGV Capital"
Ripple,10000000000,Fintech,San Francisco,United States,North America,294000000,"IDG Capital, Venture51, Lightspeed Venture Partners"
OYO Rooms,10000000000,Travel,Gurugram,India,Asia,3000000000,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
OutSystems,10000000000,Internet software & services,Boston,United States,North America,572000000,"KKR, ES Ventures, North Bridge Growth Equity"
ServiceTitan,10000000000,Internet software & services,Glendale,United States,North America,1000000000,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
Alchemy,10000000000,Fintech,San Francisco,United States,North America,564000000,"DFJ Growth Fund, Coatue Management, Addition"
Chehaoduo,10000000000,E-commerce & direct-to-consumer,Beijing,China,Asia,4000000000,"Sequoia Capital China, GX Capital"
Digital Currency Group,10000000000,Fintech,New York,United States,North America,1000000000,"Ribbit Capital, capitalG, Softbank Group"
Figma,10000000000,Internet software & services,San Francisco,United States,North America,333000000,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
Gusto,10000000000,Fintech,San Francisco,United States,North America,691000000,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Lalamove,10000000000,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2000000000,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
Notion Labs,10000000000,Internet software & services,San Francisco,United States,North America,343000000,"Index Ventures, Draft Ventures, Felicis Ventures"
reddit,10000000000,Internet software & services,San Francisco,United States,North America,1000000000,"Y Combinator, Sequoia Capital, Coatue Management"
Talkdesk,10000000000,Internet software & services,San Francisco,United States,North America,497000000,"DJF, Salesforce Ventures, Storm Ventures"
Thrasio,10000000000,Other,Walpole,United States,North America,2000000000,"Upper90, RiverPark Ventures, Advent International"
Dunamu,9000000000,Fintech,Seoul,South Korea,Asia,71000000,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities"
Yanolja,9000000000,Travel,Seoul,South Korea,Asia,2000000000,"SBI Investment Korea, Partners Investment, GIC"
Pony.ai,9000000000,Artificial intelligence,Fremont,United States,North America,1000000000,"Sequoia Capital China, IDG Capital, DCM Ventures"
Nuro,9000000000,Auto & transportation,Mountain View,United States,North America,2000000000,"SoftBank Group, Greylock Partners, Gaorong Capital"
Snyk,9000000000,Cybersecurity,Boston,United States,North America,1000000000,"BOLDstart Ventures, Google Ventures, Accel"
Kavak,9000000000,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2000000000,"DST Global, SoftBank Group, Mountain Nazca"
N26,9000000000,Fintech,Berlin,Germany,Europe,2000000000,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Klaviyo,9000000000,Internet software & services,Boston,United States,North America,679000000,"Summit Partners, Accel, Astral Capital"
Niantic,9000000000,Mobile & telecommunications,San Francisco,United States,North America,770000000,"Nintendo, Google, Pokemon Company International, Spark Capital"
Tanium,9000000000,Cybersecurity,Kirkland,United States,North America,775000000,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Dream11,8000000000,Internet software & services,Mumbai,India,Asia,2000000000,"Kaalari Capital, Tencent Holdings, Steadview Capital"
DJI Innovations,8000000000,Hardware,Shenzhen,China,Asia,105000000,"Accel Partners, Sequoia Capital"
Netskope,8000000000,Cybersecurity,Santa Clara,United States,North America,1000000000,"Lightspeed Venture Partners, Social Capital, Accel"
Razorpay,8000000000,Fintech,Bengaluru,India,Asia,742000000,"Sequoia Capital India, Tiger Global Management, Matrix Partners India"
Dapper Labs,8000000000,Fintech,Vancouver,Canada,North America,607000000,"Union Square Ventures, Venrock, Andreessen Horowitz"
Lacework,8000000000,Cybersecurity,San Jose,United States,North America,2000000000,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management"
Tipalti,8000000000,Fintech,San Mateo,United States,North America,549000000,"01 Advisors, Zeev Ventures, Group 11"
Hopin,8000000000,Internet software & services,London,United Kingdom,Europe,1000000000,"Accel, Northzone Ventures, Institutional Venture Partners"
Caris Life Sciences,8000000000,Health,Irving,United States,North America,1000000000,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
Ramp,8000000000,Fintech,New York,United States,North America,660000000,"D1 Capital Partners, Stripe, Coatue Management"
Tempus,8000000000,Health,Chicago,United States,North America,820000000,"New Enterprise Associates, T. Rowe Associates, Lightbank"
Fireblocks,8000000000,Fintech,New York,United States,North America,1000000000,"Tenaya Capital, Coatue Management, Stripes Group"
Flexport,8000000000,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2000000000,"Bloomberg Beta, Founders Fund, First Round Capital"
National Stock Exchange of India,7000000000,Fintech,Mumbai,India,Asia,297000000,"TA Associates, SoftBank Group, GS Growth"
Meicai,7000000000,Mobile & telecommunications,Beijing,China,Asia,1000000000,"Tiger Global Management, Blue Lake Capital, ZhenFund"
Impossible Foods,7000000000,Consumer & retail,Redwood City,United States,North America,2000000000,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
CRED,7000000000,Fintech,Bengaluru,India,Asia,922000000,"Tiger Global Management, DST Global, Sequoia Capital India"
Attentive,7000000000,Mobile & telecommunications,Hoboken,United States,North America,863000000,"NextView Ventures, Eniac Ventures, Sequoia Capital"
Ola Cabs,7000000000,Auto & transportation,Bengaluru,India,Asia,4000000000,"Accel Partners, SoftBank Group, Sequoia Capital"
Rippling,7000000000,Internet software & services,San Francisco,United States,North America,447000000,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
Carta,7000000000,Fintech,San Francisco,United States,North America,1000000000,"Menlo Ventures, Spark Capital, Union Square Ventures"
Toss,7000000000,Fintech,Seoul,South Korea,Asia,844000000,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
Ziroom,7000000000,E-commerce & direct-to-consumer,Beijing,China,Asia,2000000000,"Sequoia Capital China, Warburg Pincus, General Catalyst"
Scale AI,7000000000,Artificial intelligence,San Francisco,United States,North America,603000000,"Accel, Y Combinator, Index Ventures"
Gong,7000000000,Artificial intelligence,Palo Alto,United States,North America,583000000,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
TripActions,7000000000,Travel,Palo Alto,United States,North America,912000000,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
1Password,7000000000,Cybersecurity,Toronto,Canada,North America,920000000,"Slack Fund, Accel, Skip Capital"
Automation Anywhere,7000000000,Artificial intelligence,San Jose,United States,North America,849000000,"General Atlantic, Goldman Sachs, New Enterprise Associates"
Gemini,7000000000,Fintech,New York,United States,North America,424000000,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
ConsenSys,7000000000,Fintech,New York,United States,North America,660000000,"Third Point, Electric Capital, Coinbase Ventures"
Ro,7000000000,Health,New York,United States,North America,1000000000,"Initialized Capital, General Catalyst, SignalFire"
Black Unicorn Factory,6000000000,Other,Los Angeles,United States,North America,645000000,Barter Ventures
Easyhome,6000000000,Consumer & retail,Beijing,China,Asia,2000000000,"Alibaba Group, Boyu Capital, Borui Capital"
WeDoctor,6000000000,Health,Hangzhou,China,Asia,1000000000,"Tencent, Morningside Group"
SVOLT,6000000000,Auto & transportation,Changzhou,China,Asia,3000000000,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management"
Airwallex,6000000000,Fintech,Melbourne,Australia,Oceania,802000000,"DST Global, Sequoia Capital China, Tencent Holdings"
Deel,6000000000,Fintech,San Francisco,United States,North America,629000000,"Andreessen Horowitz, Spark Capital, Y Combinator"
Mambu,6000000000,Fintech,Amsterdam,Netherlands,Europe,448000000,"Runa Capital, Acton Capital Partners, Point Nine Capital"
Mollie,6000000000,Fintech,Amsterdam,Netherlands,Europe,928000000,Technology Crossover Ventures
Doctolib,6000000000,Health,Paris,France,Europe,815000000,"BPI France, Kerala Ventures, Accel"
FiveTran,6000000000,Data management & analytics,Oakland,United States,North America,728000000,"Matrix Partners, Andreessen Horowitz, General Catalyst"
Postman,6000000000,Internet software & services,San Francisco,United States,North America,433000000,"Nexus Venture Partners, CRV, Insight Partners"
Back Market,6000000000,E-commerce & direct-to-consumer,Paris,France,Europe,1000000000,"Aglae Ventures, Eurazeo, Daphni"
Cityblock Health,6000000000,Health,Brooklyn,United States,North America,891000000,"Thrive Capital, Maverick Ventures, Redpoint Ventures"
DataRobot,6000000000,Artificial intelligence,Boston,United States,North America,1000000000,"New Enterprise Associates, Accomplice, IA Ventures"
Personio,6000000000,Internet software & services,Munich,Germany,Europe,524000000,"Global Founders Capital, Nortzone Ventures, Picus Capital"
RELEX Solutions,6000000000,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,803000000,"Blackstone, Technology Crossover Ventures, Summit Partners"
Vice Media,6000000000,Internet software & services,Brooklyn,United States,North America,1000000000,"Technology Crossover Ventures, A&E Television Networks"
Workato,6000000000,Internet software & services,Mountain View,United States,North America,415000000,"Battery Ventures, Storm Ventures, Redpoint Ventures"
Upgrade,6000000000,Fintech,San Francisco,United States,North America,587000000,"Union Square Ventures, Ribbit Capital, VY Capital"
Lianjia,6000000000,E-commerce & direct-to-consumer,Beijing,China,Asia,1000000000,"Tencent, Baidu, Huasheng Capital"
Hinge Health,6000000000,Health,San Francisco,United States,North America,826000000,"Atomico, Insight Partners, Coatue Management"
Lyra Health,6000000000,Health,Burlingame,United States,North America,910000000,"Greylock Partners, Venrock, Providence Ventures"
Benchling,6000000000,Internet software & services,San Francisco,United States,North America,412000000,"Thrive Capital, Benchmark, MenloVentures"
Better.com,6000000000,Fintech,New York,United States,North America,405000000,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers"
iCapital Network,6000000000,Fintech,New York,United States,North America,729000000,"BlackRock, Blackstone, UBS"
Wiz,6000000000,Cybersecurity,Tel Aviv,Israel,Asia,600000000,"Insight Partners, Sequoia Capital, Index Ventures"
DailyHunt,5000000000,Internet software & services,Bengaluru,India,Asia,869000000,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India"
Howden Group Holdings,5000000000,Other,London,United Kingdom,Europe,187000000,"General Atlantic, 3i Group, Huagai Capital"
Meesho,5000000000,Internet software & services,Bengaluru,India,Asia,1000000000,"Venture Highway, Sequoia Capital India, Prosus Ventures"
Meizu Technology,5000000000,Hardware,Zhuhai,China,Asia,943000000,"Telling Telecommunication Holding Co., Alibaba Group"
CloudWalk Technology,5000000000,Artificial intelligence,Guangzhou,China,Asia,514000000,"Oriza Holdings, Guangdong Technology Financial Group"
Royole Corporation,5000000000,Hardware,Shenzhen,China,Asia,492000000,"Warmsun Holding, IDG Capital Partners"
Monzo,5000000000,Fintech,London,United Kingdom,Europe,1000000000,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Socure,5000000000,Cybersecurity,New York,United States,North America,644000000,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
VIPKid,5000000000,Edtech,Beijing,China,Asia,1000000000,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Vinted,5000000000,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,562000000,"Accel, Insight Partners, Burda Principal Investments"
Lendable,5000000000,Fintech,London,United Kingdom,Europe,286000000,"Ontario Teachers' Pension Plan, Goldman Sachs"
UBTECH Robotics,5000000000,Hardware,Shenzhen,China,Asia,943000000,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
Anduril,5000000000,Artificial intelligence,Irvine,United States,North America,691000000,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
Checkr,5000000000,Internet software & services,San Francisco,United States,North America,559000000,"Y Combinator, Accel, T. Rowe Price"
Color,5000000000,Health,Burlingame,United States,North America,497000000,"General Catalyst, Viking Global Investors, T. Rowe Price"
Dataiku,5000000000,Internet software & services,New York,United States,North America,647000000,"Alven Capital, FirstMark Capital, capitalG"
BetterUp,5000000000,Internet software & services,San Francisco,United States,North America,567000000,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
Pleo,5000000000,Fintech,Copenhagen,Denmark,Europe,428000000,"Creandum, Founders, Kinnevik"
Trade Republic,5000000000,Fintech,Berlin,Germany,Europe,996000000,"Founders Fund, Accel, Creandum"
Chipone,5000000000,Hardware,Beijing,China,Asia,1000000000,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment"
Collibra,5000000000,Data management & analytics,Brussels,Belgium,Europe,596000000,"Index Ventures, Battery Ventures, ICONIQ Capital"
Rappi,5000000000,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2000000000,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
6Sense,5000000000,Artificial intelligence,San Francisco,United States,North America,426000000,"Venrock, Battery Ventures, Insight Partners"
Cerebral,5000000000,Health,San Francisco,United States,North America,462000000,"Oak HC/FT Partners, Artis Ventures, WestCap Group"
Creditas,5000000000,Fintech,Sao Paulo,Brazil,South America,824000000,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital"
OneTrust,5000000000,Internet software & services,Atlanta,United States,North America,926000000,Insight Partners
QuintoAndar,5000000000,E-commerce & direct-to-consumer,Campinas,Brazil,South America,755000000,"Kaszek Ventures, General Atlantic, SoftBank Group"
C6 Bank,5000000000,Fintech,Sao Paulo,Brazil,South America,2000000000,Credit Suisse
Cockroach Labs,5000000000,Data management & analytics,New York,United States,North America,633000000,"Google Ventures, Benchmark, FirstMark Capital"
Hopper,5000000000,Travel,Montreal,Canada,North America,599000000,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures"
Icertis,5000000000,Artificial intelligence,Bellevue,United States,North America,371000000,"Eight Roads Ventures, Greycroft, Ignition Partners"
Moon Active,5000000000,Mobile & telecommunications,Tel Aviv,Israel,Asia,425000000,"Insight Partners, Andalusian Capital Partners"
OfBusiness,5000000000,E-commerce & direct-to-consumer,Gurgaon,India,Asia,734000000,"Matrix Partners India, Falcon Edge Capital, SoftBank Group"
Ola Electric Mobility,5000000000,Auto & transportation,Bengaluru,India,Asia,761000000,"SoftBank Group, Tiger Global Management, Matrix Partners India"
Pine Labs,5000000000,Fintech,Noida,India,Asia,903000000,"Sequoia Capital India, Temasek, PayPal Ventures"
Qonto,5000000000,Fintech,Paris,France,Europe,704000000,"Alven Capital, Valar Ventures, Tencent Holdings"
SambaNova Systems,5000000000,Data management & analytics,Palo Alto,United States,North America,1000000000,"Walden International, Google Ventures, Intel Capital"
United Imaging Healthcare,5000000000,Health,Shanghai,China,Asia,503000000,"China Life Insurance, China Development Bank Capital, CITIC Securities International"
WM Motor,5000000000,Auto & transportation,Shanghai,China,Asia,4000000000,"Baidu Capital, Linear Venture, Tencent"
ZEPZ,5000000000,Fintech,London,United Kingdom,Europe,655000000,"Accel, Technology Crossover Ventures, LeapFrog Investments"
Abogen,4000000000,Health,Suzhou,China,Asia,1000000000,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners"
Greensill,4000000000,Fintech,London,United Kingdom,Europe,2000000000,"SoftBank Group, General Atlantic"
HyalRoute,4000000000,Mobile & telecommunications,,Singapore,Asia,263000000,Kuang-Chi
Radiology Partners,4000000000,Health,El Segundo,United States,North America,1000000000,"New Enterprise Associates, Starr Investment Holdings"
Yello Mobile,4000000000,Mobile & telecommunications,Seoul,South Korea,Asia,216000000,Formation 8
Turing,4000000000,Internet software & services,Palo Alto,United States,North America,128000000,"Foundation Capital, Frontier Ventures, AltaIR Capital"
Lenskart,4000000000,E-commerce & direct-to-consumer,Faridabad,India,Asia,776000000,"Chiratae Ventures, PremjiInvest, Softbank"
Kraken,4000000000,Fintech,San Francisco,United States,North America,119000000,"Bnk To The Future, Trammell Ventures, SBI Investment"
Horizon Robotics,4000000000,Artificial intelligence,Beijing,China,Asia,2000000000,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
MoonPay,4000000000,Fintech,Miami,United States,North America,555000000,"New Enterprise Associates, Coatue Management, Tiger Global Management"
Celsius Network,4000000000,Fintech,Hoboken,United States,North America,864000000,"WestCap Group, Caisse de depot et placement du Quebec"
ChargeBee Technologies,4000000000,Fintech,Walnut,United States,North America,468000000,"Insight Partners, Tiger Global Management, Accel"
Coalition,4000000000,Cybersecurity,San Francisco,United States,North America,505000000,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
Commure,4000000000,Internet software & services,San Francisco,United States,North America,542000000,"General Catalyst, HCA Healthcare"
Flock Safety,4000000000,Hardware,Atlanta,United States,North America,381000000,"Matrix Partners, Initialized Capital, Tiger Global Management"
Handshake,4000000000,Internet software & services,San Francisco,United States,North America,434000000,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures"
Highspot,4000000000,Internet software & services,Seattle,United States,North America,643000000,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures"
Indigo Ag,4000000000,Artificial intelligence,Boston,United States,North America,1000000000,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Mirakl,4000000000,E-commerce & direct-to-consumer,Paris,France,Europe,948000000,"Elaia Partners, 83North, Felix Capital"
Rec Room,4000000000,Internet software & services,Seattle,United States,North America,294000000,"First Round Capital, Sequoia Capital, Index Ventures"
Tekion,4000000000,Internet software & services,San Ramon,United States,North America,435000000,"Airbus Ventures, Index Ventures, Advent International"
Otto Bock HealthCare,4000000000,Health,Duderstadt,Germany,Europe,0000000,EQT Partners
Outreach,4000000000,Internet software & services,Seattle,United States,North America,489000000,"Mayfield Fund, M12, Trinity Ventures"
WeRide,4000000000,Auto & transportation,Guangzhou,China,Asia,1000000000,"Atop Capital, IDInvest Partners, Qiming Venture Partners"
Applied Intuition,4000000000,Data management & analytics,Sunnyvale,United States,North America,352000000,"Andreessen Horowitz, Lux Capital, General Catalyst"
Course Hero,4000000000,Edtech,Redwood City,United States,North America,477000000,"NewView Capital, Maveron, Ridge Ventures"
Relativity,4000000000,Internet software & services,Chicago,United States,North America,125000000,"Silver Lake, ICONIQ Capital"
Whoop,4000000000,E-commerce & direct-to-consumer,Boston,United States,North America,404000000,"NextView Ventures, Promus Ventures, Two Sigma Ventures"
Arctic Wolf Networks,4000000000,Cybersecurity,Eden Prairie,United States,North America,498000000,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors"
GOAT,4000000000,E-commerce & direct-to-consumer,Culver City,United States,North America,493000000,"Upfront Ventures, Webb Investment Network, D1 Capital Partners"
Noom,4000000000,Health,New York,United States,North America,657000000,"Qualcomm Ventures, Samsung Ventures, Silver Lake"
Papaya Global,4000000000,Internet software & services,New York,United States,North America,440000000,"Bessemer Venture Partners, Insight Partners, New Era Ventures"
Redwood Materials,4000000000,Other,Carson City,United States,North America,792000000,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners"
ShareChat,4000000000,Internet software & services,Bengaluru,India,Asia,1000000000,"India Quotient, Elevation Capital, Lightspeed Venture Partners"
Sorare,4000000000,E-commerce & direct-to-consumer,Paris,France,Europe,739000000,"Benchmark, Accel, SoftBank Group"
VAST Data,4000000000,Data management & analytics,New York,United States,North America,263000000,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
Articulate,4000000000,Edtech,New York,United States,North America,2000000000,"Blackstone, ICONIQ Growth, General Atlantic"
Dutchie,4000000000,E-commerce & direct-to-consumer,Bend,United States,North America,603000000,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures"
FalconX,4000000000,Fintech,San Mateo,United States,North America,324000000,"Tiger Global Management, American Express Ventures, B Capital Group"
Guild Education,4000000000,Internet software & services,Denver,United States,North America,379000000,"General Atlantic, Blackstone, ICONIQ Growth"
Chainalysis,4000000000,Fintech,New York,United States,North America,367000000,"Addition, Benhcmark, Accel"
dbt Labs,4000000000,Data management & analytics,Philadelphia,United States,North America,414000000,"Andreessen Horowitz, Amplify Partners, Sequoia Capital"
Globalization Partners,4000000000,Internet software & services,Boston,United States,North America,350000000,"Vista Equity Partners, Wincove, TDR Capital"
Intarcia Therapeutics,4000000000,Health,Boston,United States,North America,1000000000,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital"
Relativity Space,4000000000,Other,Inglewood,United States,North America,1000000000,"Playground Global, Bond, Tribe Capital"
StockX,4000000000,E-commerce & direct-to-consumer,Detroit,United States,North America,495000000,"Google Ventures, Battery Ventures, DST Global"
ThoughtSpot,4000000000,Internet software & services,Sunnyvale,United States,North America,664000000,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital"
SSENSE,4000000000,E-commerce & direct-to-consumer,Montreal,Canada,North America,Unknown,Sequoia Capital
BitPanda,4000000000,Fintech,Vienna,Austria,Europe,546000000,"Speedinvest, Valar Ventures, Uniqa Ventures"
Dataminr,4000000000,Artificial intelligence,New York,United States,North America,1000000000,"Venrock, Institutional Venture Partners, Goldman Sachs"
Weee!,4000000000,"Supply chain, logistics, & delivery",Fremont,United States,North America,864000000,"Goodwater Capital, iFly, XVC Venture Capital"
Medlinker,4000000000,Health,Chengdu,China,Asia,761000000,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China"
Hozon Auto,4000000000,Auto & transportation,Shanghai,China,Asia,2000000000,"HD Capital, Qihoo 360 Technology, China Fortune Land Development"
Aurora Solar,4000000000,Internet software & services,San Francisco,United States,North America,523000000,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital"
Branch,4000000000,Mobile & telecommunications,Redwood City,United States,North America,667000000,"New Enterprise Associates, Pear, Cowboy Ventures"
BrowserStack,4000000000,Internet software & services,Dublin,Ireland,Europe,250000000,"Accel, Insight Partners, Bond Capital"
Cerebras Systems,4000000000,Hardware,Los Altos,United States,North America,720000000,"Benchmark, Foundation Capital, Sequoia Capital"
ClickUp,4000000000,Internet software & services,San Diego,United States,North America,535000000,"Georgian Partners, Craft Ventures"
Clubhouse,4000000000,Mobile & telecommunications,San Francisco,United States,North America,110000000,"Andreessen Horowitz, TQ Ventures"
